city,murder_gain,murder_personal_vendetta_or_enmity,murder_dowry,murder_witchcraft,murder_child_human_sacrifice,murder_communal_religious,murder_casteism,murder_sl,murder_city,murder_class_conflict,murder_for_political_reason,murder_honour_killing,murder_love_affairs,murder_illicit_relationship,murder_extremism_insurgency,murder_during_dacoity_robbery,murder_gang_rivalry,murder_psychopathserial_killers,murder_sale_of_body_parts,murder_disputes_disputes_total,murder_property_land_dispute,murder_family_dispute,murder_petty_quarrel_dispute,murder_disputes_money_dispute,murder_water_dispute,murder_due_to_accidents_on_roads,murder_blind_murderno_cluemotive_not_known,murder_other_causes_or_motive,murder_total_motives_of_murder
Rajkot,2.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,33.0
Ranchi,17.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0
Srinagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Thiruvananthapuram,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
Thrissur,3.0,11.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0
Tiruchirapalli,2.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0
Vadodara,4.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,29.0
Varanasi,2.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,25.0
Vasai Virar,1.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,5.0,28.0
Ntr (Vijayawada),2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,8.0,5.0,3.0,0.0,0.0,3.0,0.0,35.0
Vishakhapatnam,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,3.0,24.0
● As Per Data Provided By States/Uts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
● States/Uts/Cities May Not Be Compared Purely On The Basis Of Crime Figures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
